,Latitude,Longitude,ID
1,-7.2838767,112.7008472,GKI Darmo Satelit
2,-7.2808613,112.6779565,GKI Darmo Permai
3,-7.2858375,112.655131,GKI Citraland
4,-7.2631808,112.6684987,pos GKI Manukan
5,-7.289694,112.7251393,GKI Maranatha
6,-7.3139583,112.6977773,GKI Bakal Jemaat Wiyung
7,-7.3327406,112.7237418,GKI Gayungsari
8,-7.3119916,112.7449825,Gereja Kristen Indonesia (GKI) Merisi Indah
9,-7.3283192,112.7811113,Gereja Kristen Indonesia (GKI) Rungkut Asri
10,-7.3404194,112.7768201,Gereja Kristen Indonesia Pondok Tjandra Indah
11,-7.3375377,112.7538074,Gereja Kristen Indonesia (GKI) Kutisari Indah
12,-7.3114435,112.7448891,GKI Klasis Banyuwangi
13,-7.2988628,112.7837147,Gereja Kristen Indonesia Manyar Bakal Pos Araya
14,-7.2852808,112.7699593,Gereja Kristen Indonesia Manyar
15,-7.28898,112.7574,Gereja Kristen Indonesia Ngagel
16,-7.2666875,112.7375973,GKI Pregbun
17,-7.259815,112.729443,GKI Emaus
18,-7.2467696,112.7409079,Gereja Kristen Indonesia (GKI) Sulung
19,-7.2568206,112.7537635,Gereja Kristen Indonesia (GKI) Residen Sudirman
20,-7.236005,112.627726,GKI Pos Jemaat Benowo
21,-7.2717955,112.6646112,GPIB Bukit Kasih
22,-7.2965903,112.7644435,Gereja Bethel Indonesia Bethany
23,-7.1667535,112.6048988,Gereja Kristen Indonesia (GKI)
24,-7.167026,112.607629,Gereja Victory Indonesia
25,-7.1615209,112.6458782,Gereja Kemah Tabernakel Gresik
26,-7.298757,112.738142,Gereja Kristus Injili
27,-7.1686702,112.6543816,East Java Christian Church
28,-7.114352,112.4185725,Gpps Shalom Lamongan
29,-7.0279248,112.4912466,GKI Residen Sudirman Bajem Windu
30,-6.893671,112.0659837,Gereja Kristen Indonesia Tuban
31,-6.8912388,112.0587927,Gereja Pantekosta
32,-6.8949897,112.057111,Gereja Pantekosta Pusat 
33,-6.8954851,112.029752,GBI Bethany Tuban
34,-7.1449407,111.8931095,Bethany Church Bojonegoro 
35,-7.1523019,111.880528,St. Paul's Catholic Church
36,-6.9042294,112.0679742,Gereja Pantekosta Tabernakel
37,-6.6990826,111.6243607,Gereja Kristen Jawa Kragan
38,-6.8913627,112.055788,GBT Tuhan Yesus Juruselamat
39,-6.8967964,112.0518881,GKJ Tuban
40,-6.8940542,112.0573878,Gereja Eleos Tuban
41,-6.89518,112.06131,Tempat Ibadah Kristen Sinode Gereja
42,-6.6990826,111.6243607,Gereja Kristen Jawa Kragan
43,-6.9024885,112.0465099,GSJPDI Bunga Bakung
44,-6.9080479,112.0719405,Gereja Masehi Advent Hari Ketujuh Jemaat Tuban
45,-6.9588114,112.0714835,Gereja Kristen Indonesia Jatim
46,-6.892457,112.0603855,Gereja Katolik Santo Petrus
47,-7.0151697,112.2542392,Gereja Bina Sampurna
48,-6.1301221,106.9091552,Gereja Plumpang
49,-7.1000493,112.1820848,Gereja Katolik Santa Maria
50,-7.1039735,112.1707327,Gereja Pantekosta 
51,-7.127452,112.0994627,Gereja Isa Almasih-Tpi Baureno
52,-7.1522527,111.8867421,Gereja Kristen Jawa Tengah Utara
53,-7.0644574,112.0038882,GPdI Rengel
54,-7.2370121,112.1474877,Gkjw Pepathan Modo
55,-7.2928145,112.7060849,Gereja Kristen Injili Nusantara Air Hidup
56,-7.2899488,112.7100855,Gereja Happy Family Center Barat
57,-7.2860573,112.7007559,Gereja Kristen Abdiel Gloria 1
58,-6.1433553,106.7442886,Gereja HKBP
59,-7.2845988,112.7100721,Redemptor Mundi Catholic Church
60,-7.28254,112.71315,Gereja Bethel Galilea
61,-7.281699,112.708461,Gereja Bethel Indonesia Syalom
62,-7.273663,112.7007603,Gereja Kristen Kalam Kudus (GKKK)
63,-7.2725132,112.6970891,Mawar Sharon Church of West Surabaya
64,-7.237892,112.7592301,Gereja Kristen Abdiel Gloria
65,-7.2676474,112.6920747,Catholic Church of St Aloysius Gonzaga
66,-7.2646713,112.7069593,Gereja Gpib
67,-7.2746884,112.7109671,"GPIB Jemaat ""Sinai"" Surabaya"
68,-7.3384233,112.6986327,Gereja Katolik Paroki Santo Yusup
69,-7.3339763,112.7156657,Gereja Katolik Sakramen Mahakudus
70,-7.334998,112.744353,"GEREJA PROTESTAN di INDONESIA bagian BARAT (GPIB) JEMAAT ""SEJAHTERA"" SURABAYA"
71,-7.3269126,112.740917,Gereja Kristen Indonesia Jemursari
72,-7.3302905,112.7359811,Gereja Katolik Gembala Yang Baik
73,-7.3176899,112.7507544,Gereja Allah Baik El Shaddai
74,-7.3119916,112.7449825,Gereja Kristen Indonesia (GKI) Merisi Indah
75,-7.3073558,112.7381677,Gereja Katolik Santo Yohanes Pemandi
76,-7.2983264,112.7546918,GBT. Kristus Gembala Agung
77,-7.28963,112.744317,Gereja Surabaya City Blessing
78,-7.3131404,112.7865212,Gereja Surabaya City Blessing OASIS
79,-7.3143797,112.7591825,Gereja Pondok Daud
80,-7.251954,112.731234,Gereja GKT Hosana
81,-7.2563597,112.7265672,Gereja Yesus Sejati Merbabu
82,-7.2779481,112.7181525,Gereja GPdI Yesus Harapan Pasti - GPdI YHP surabaya
83,-7.2779481,112.7181525,Gereja Baptis Indonesia Putat Jaya
84,-7.2637,112.740763,Gereja Tiberias
85,-7.345003,112.728851,Gereja Tiberias
86,-7.2317692,112.7123934,Gereja Tiberias
87,-7.2406637,112.7462308,Gereja Tiberias
88,-7.2721623,112.7378842,HKBP Kedondong
89,-7.2450205,112.7424308,Gereja Sidang Jemaat Kristus Alun-alun Contong Surabaya City East Java Indonesia
90,-7.257219,112.751029,Gereja Sidang Jemaat Kristus Jalan Kusuma Bangsa Ketabang Surabaya City East Java Indonesia
91,-7.24034,112.737864,Gereja Bethany Indonesia Veteran Jalan Veteran South Krembangan Surabaya City East Java Indonesia
92,-7.248312,112.79057,GEREJA KRISTEN ABDIEL GRACIA Jalan Gading Pantai Besar Dukuh Sutorejo Surabaya City East Java Indonesia
93,-7.239756,112.734339,Gereja Kristen Abdiel Gracia Jalan Gatotan South Krembangan Surabaya City East Java Indonesia
94,-7.2429691,112.7319021,Gereja Kemenangan Iman Indonesia Jalan Kemayoran Baru South Krembangan Surabaya City East Java Indonesia
95,-7.232471,112.728603,"GEREJA PROTESTAN di INDONESIA bagian BARAT (GPIB) JEMAAT ""GALILEA"" SURABAYA"
96,-7.2333719,112.730045,Pentecostal Church in Indonesia Rajawali
97,-7.2243902,112.7275263,Gereja Katolik Santo Mikael Jalan Tanjung Sadari West Perak Surabaya City East Java Indonesia
98,-7.216893,112.730636,Gereja Kristen Protestan Jl. Tlk. Bone North Perak Surabaya City East Java Indonesia
99,-7.2142031,112.7330813,Jemaat Mahanaim Jl. Teluk Buli North Perak Surabaya City East Java Indonesia
100,-7.2298629,112.76002,Gereja HKBP Pogot Jalan Sidotopo Wetan Indah II Sidotopo Wetan Surabaya City East Java Indonesia
101,-7.2325228,112.7651673,Gereja Katolik Ratu Pencinta Damai Tanah Kali Kedinding Surabaya City East Java Indonesia
102,-7.236725,112.767689,Bethany Church Indonesia Kapas Madya II Gading Surabaya City East Java Indonesia
103,-7.244118,112.777994,Gereja Kristen Indonesia (GKI) Lebak Jaya
104,-7.247398,112.790501,Gereja Katolik St Marinus Yohanes Jalan Memet Sastrawirya Kompleks Kenjeran Surabaya City East Java Indonesia
105,-7.2557736,112.7946916,Gereja Bethel Tabernakel Jl. Babatan Pantai Tim. Dukuh Sutorejo Surabaya City East Java Indonesia
106,-7.271038,112.803277,Gereja Bethany Indonesia Yobel Griya Iii Kalisari Surabaya City East Java Indonesia
107,-7.2567656,112.7712799,GBI Prince of Peace Jalan Ploso Baru Ploso Surabaya City East Java Indonesia
108,-7.2743076,112.7734086,Gereja Kristus Yesus Surabaya Jalan Dharma Husada Indah II Mulyorejo Surabaya City East Java Indonesia
109,-7.278042,112.773845,Gereja Reformed Injili Indonesia Kertajaya Jalan Kertajaya Indah II Manyar Sabrangan Surabaya City East Java Indonesia
110,-7.2754842,112.785891,GKA Gloria Galaxy Mulyorejo Surabaya City East Java Indonesia
111,-7.289216,112.776096,Gereja JKI Kuasa Mujizat Jalan Arif Rahman Hakim Klampis Ngasem Surabaya City East Java Indonesia
112,-7.2931998,112.7700054,Gereja Jemaat Kristen Indonesia - Bukit Zion
113,-7.2708634,112.7921226,TOWER OF CHRIST Mulyorejo Surabaya City East Java Indonesia
114,-7.2907649,112.8046114,GBI Antiokhia Jalan Keputih Tegal Timur III Keputih Surabaya City East Java Indonesia
115,-7.3039938,112.7877608,GKJW Jemaat Sukolilo Jalan Semolowaru Bahari Semolowaru Surabaya City East Java Indonesia
116,-7.3130471,112.7883024,Gereja Kristen Abdiel Gloria Nirwana Eksekutif Jalan Wonorejo Permai VIII Wonorejo Surabaya City East Java Indonesia
117,-7.2650426,112.7725858,Gereja Kristus Tuhan Surabaya Timur Jalan Dharma Husada Utara III Mojo Surabaya City East Java Indonesia
118,-7.3135633,112.7931276,Bethany Family Blessing Nirwana Eksekutif
119,-7.2778984,112.7893463,GBI MARANATHA 2 Jalan Kertajaya Indah Timur XVI Gebang Putih Surabaya City East Java Indonesia
120,-7.3404194,112.7768201,Gereja Kristen Indonesia Pondok Tjandra Indah Jl. Taman Asri Utara Tambakrejo Sidoarjo Regency East Java Indonesia
121,-7.3416366,112.7383184,Gereja Kristen Indonesia Nederland
