nama,Latitude,Longitude
GKI Darmo Satelit,-7.2838767,112.7008472
GKI Darmo Permai,-7.2808613,112.6779565
GKI Citraland,-7.2858375,112.655131
pos GKI Manukan,-7.2631808,112.6684987
GKI Maranatha,-7.289694,112.7251393
GKI Bakal Jemaat Wiyung,-7.3139583,112.6977773
GKI Gayungsari,-7.3327406,112.7237418
Gereja Kristen Indonesia (GKI) Merisi Indah,-7.3119916,112.7449825
Gereja Kristen Indonesia (GKI) Rungkut Asri,-7.3283192,112.7811113
Gereja Kristen Indonesia Pondok Tjandra Indah,-7.3404194,112.7768201
Gereja Kristen Indonesia (GKI) Kutisari Indah,-7.3375377,112.7538074
GKI Klasis Banyuwangi,-7.3114435,112.7448891
Gereja Kristen Indonesia Manyar Bakal Pos Araya,-7.2988628,112.7837147
Gereja Kristen Indonesia Manyar,-7.2852808,112.7699593
Gereja Kristen Indonesia Ngagel,-7.28898,112.7574
GKI Pregbun,-7.2666875,112.7375973
GKI Emaus,-7.259815,112.729443
Gereja Kristen Indonesia (GKI) Sulung,-7.2467696,112.7409079
Gereja Kristen Indonesia (GKI) Residen Sudirman,-7.2568206,112.7537635
GKI Pos Jemaat Benowo,-7.236005,112.627726
GPIB Bukit Kasih,-7.2717955,112.6646112
Gereja Bethel Indonesia Bethany,-7.2965903,112.7644435
Gereja Kristen Indonesia (GKI),-7.1667535,112.6048988
Gereja Victory Indonesia,-7.167026,112.607629
Gereja Kemah Tabernakel Gresik,-7.1615209,112.6458782
Gereja Kristus Injili,-7.298757,112.738142
East Java Christian Church,-7.1686702,112.6543816
Gpps Shalom Lamongan,-7.114352,112.4185725
GKI Residen Sudirman Bajem Windu,-7.0279248,112.4912466
Gereja Kristen Indonesia Tuban,-6.893671,112.0659837
Gereja Pantekosta,-6.8912388,112.0587927
Gereja Pantekosta Pusat ,-6.8949897,112.057111
GBI Bethany Tuban,-6.8954851,112.029752
Bethany Church Bojonegoro ,-7.1449407,111.8931095
St. Paul's Catholic Church,-7.1523019,111.880528
Gereja Pantekosta Tabernakel,-6.9042294,112.0679742
Gereja Kristen Jawa Kragan,-6.6990826,111.6243607
GBT Tuhan Yesus Juruselamat,-6.8913627,112.055788
GKJ Tuban,-6.8967964,112.0518881
Gereja Eleos Tuban,-6.8940542,112.0573878
Tempat Ibadah Kristen Sinode Gereja,-6.89518,112.06131
Gereja Kristen Jawa Kragan,-6.6990826,111.6243607
GSJPDI Bunga Bakung,-6.9024885,112.0465099
Gereja Masehi Advent Hari Ketujuh Jemaat Tuban,-6.9080479,112.0719405
Gereja Kristen Indonesia Jatim,-6.9588114,112.0714835
Gereja Katolik Santo Petrus,-6.892457,112.0603855
Gereja Bina Sampurna,-7.0151697,112.2542392
Gereja Plumpang,-6.1301221,106.9091552
Gereja Katolik Santa Maria,-7.1000493,112.1820848
Gereja Pantekosta ,-7.1039735,112.1707327
Gereja Isa Almasih-Tpi Baureno,-7.127452,112.0994627
Gereja Kristen Jawa Tengah Utara,-7.1522527,111.8867421
GPdI Rengel,-7.0644574,112.0038882
Gkjw Pepathan Modo,-7.2370121,112.1474877
Gereja Kristen Injili Nusantara Air Hidup,-7.2928145,112.7060849
Gereja Happy Family Center Barat,-7.2899488,112.7100855
Gereja Kristen Abdiel Gloria 1,-7.2860573,112.7007559
Gereja HKBP,-6.1433553,106.7442886
Redemptor Mundi Catholic Church,-7.2845988,112.7100721
Gereja Bethel Galilea,-7.28254,112.71315
Gereja Bethel Indonesia Syalom,-7.281699,112.708461
Gereja Kristen Kalam Kudus (GKKK),-7.273663,112.7007603
Mawar Sharon Church of West Surabaya,-7.2725132,112.6970891
Gereja Kristen Abdiel Gloria,-7.237892,112.7592301
Catholic Church of St Aloysius Gonzaga,-7.2676474,112.6920747
Gereja Gpib,-7.2646713,112.7069593
